"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Monitoring页面验证","0","0","1","0","0"
"","","首页点击“Solution-AI Agent”跳转成功","0","0","1","0","0"
"","","登录失败，密码错误","0","0","1","0","0"
"","","执行测试套件用例","0","0","1","0","0"
"","","注册成功","0","0","1","0","0"
"","","首页点击“Blog”跳转成功","0","0","1","0","0"
"","","验证SETTINGS-Profile页面文案","0","0","1","0","0"
"","","创建测试成功","0","0","1","0","0"
"","","选择测试用例加入测试套件","0","0","1","0","0"
"","","注册-邮箱已存在","0","0","1","0","0"
"","","首页访问成功","0","0","1","0","0"
"","","首页点击“Solution-Backend Testing”跳转成功","0","0","1","0","0"
"","","验证SETTINGS-Plan & Billing页面文案","0","0","1","0","0"
"","","点击OVERVIEW_Home跳转成功","0","0","1","0","0"
"","","首页点击“Community”跳转成功","0","0","1","0","0"
"","","个人中心-点击Billing跳转成功","0","0","1","0","0"
"","","首页点击“Docs”跳转成功","0","0","1","0","0"
"","","登录失败，账号错误","0","0","1","0","0"
"","","登录成功","0","0","1","0","0"
"","","新建测试套件","0","0","1","0","0"
"","","首页点击“Pricing”跳转成功","0","0","1","0","0"
"","","首页点击“Solution-Frontend Testing”跳转成功","0","0","1","0","0"
"","","个人中心-点击SignOut退出登录成功","0","0","1","0","0"
"","","首页点击“ContactUs”跳转成功","0","0","1","0","0"
"","","点击OVERVIEW_MCP Tests跳转成功","0","0","1","0","0"
"","","个人中心-点击Profile跳转成功","0","0","1","0","0"
"","","首页点击“Solution-Data Testing”跳转成功","0","0","1","0","0"
"","","注册-密码格式错误","0","0","1","0","0"
"","","注册-密码和确认密码不一致","0","0","1","0","0"
"","","验证SETTINGS-API Keys新增功能","0","0","1","0","0"
"","","首页点击“Solution-MCP Server”跳转成功","0","0","1","0","0"
